,speed,gear,brake,throttle,revs,transmission_speed
145,[23.599290029052803],[2.0],[0.0],[1.0],[600.0],[1067.5894263683608]
146,[23.587482092110903],[2.0],[0.0],[1.0],[600.0],[1067.0552565432993]
147,[23.575683717971852],[2.0],[0.0],[1.0],[600.0],[1066.5215193222355]
148,[23.563894894169074],[2.0],[0.0],[1.0],[600.0],[1065.9882141412036]
149,[23.55211560825769],[2.0],[0.0],[1.0],[600.0],[1065.45534043722]
150,[23.540345847814447],[2.0],[0.0],[1.0],[600.0],[1064.9228976482793]
151,[23.528585600437697],[2.0],[0.0],[1.0],[600.0],[1064.3908852133527]
152,[23.51683485374732],[2.0],[0.0],[1.0],[600.0],[1063.859302572386]
153,[23.505093595384707],[2.0],[0.0],[1.0],[600.0],[1063.3281491662983]
154,[23.493361813012697],[2.0],[0.0],[1.0],[600.0],[1062.7974244369784]
155,[23.481639494315537],[2.0],[0.0],[1.0],[600.0],[1062.2671278272835]
156,[23.469926626998824],[2.0],[0.0],[1.0],[600.0],[1061.7372587810376]
157,[23.458223198789472],[2.0],[0.0],[1.0],[600.0],[1061.207816743028]
158,[23.446529197435677],[2.0],[0.0],[1.0],[600.0],[1060.678801159005]
159,[23.434844610706836],[2.0],[0.0],[1.0],[600.0],[1060.150211475678]
160,[23.42316942639353],[2.0],[0.0],[1.0],[600.0],[1059.6220471407153]
161,[23.411503632307472],[2.0],[0.0],[1.0],[600.0],[1059.0943076027404]
162,[23.39984721628146],[2.0],[0.0],[1.0],[600.0],[1058.566992311331]
163,[23.388200166169323],[2.0],[0.0],[1.0],[600.0],[1058.0401007170165]
164,[23.376562469845886],[2.0],[0.0],[1.0],[600.0],[1057.5136322712756]
165,[23.36493411520694],[2.0],[0.0],[1.0],[600.0],[1056.9875864265352]
166,[23.353315090169158],[2.0],[0.0],[1.0],[600.0],[1056.4619626361682]
167,[23.34170538267008],[2.0],[0.0],[1.0],[600.0],[1055.9367603544902]
168,[23.330104980668075],[2.0],[0.0],[1.0],[600.0],[1055.4119790367588]
169,[23.318513872142248],[2.0],[0.0],[1.0],[600.0],[1054.8876181391715]
170,[23.306932045092466],[2.0],[0.0],[1.0],[600.0],[1054.363677118863]
171,[23.295359487539255],[2.0],[0.0],[1.0],[600.0],[1053.8401554339039]
172,[23.28379618752378],[2.0],[0.0],[1.0],[600.0],[1053.3170525432981]
173,[23.272242133107802],[2.0],[0.0],[1.0],[600.0],[1052.7943679069808]
174,[23.26069731237364],[2.0],[0.0],[1.0],[600.0],[1052.2721009858176]
175,[23.24916171342409],[2.0],[0.0],[1.0],[600.0],[1051.7502512416006]
176,[23.237635324382435],[2.0],[0.0],[1.0],[600.0],[1051.2288181370484]
177,[23.226118133392365],[2.0],[0.0],[1.0],[600.0],[1050.7078011358026]
178,[23.214610128617938],[2.0],[0.0],[1.0],[600.0],[1050.187199702427]
179,[23.203111298243552],[2.0],[0.0],[1.0],[600.0],[1049.6670133024045]
180,[23.191621630473882],[2.0],[0.0],[1.0],[600.0],[1049.1472414021362]
181,[23.180141113533853],[2.0],[0.0],[1.0],[600.0],[1048.6278834689385]
182,[23.168669735668583],[2.0],[0.0],[1.0],[600.0],[1048.1089389710423]
183,[23.157207485143356],[2.0],[0.0],[1.0],[600.0],[1047.5904073775894]
184,[23.14575435024356],[2.0],[0.0],[1.0],[600.0],[1047.0722881586325]
185,[23.13431031927466],[2.0],[0.0],[1.0],[600.0],[1046.5545807851315]
186,[23.12287538056215],[2.0],[0.0],[1.0],[600.0],[1046.0372847289527]
187,[23.1114495224515],[2.0],[0.0],[1.0],[600.0],[1045.5203994628664]
188,[23.100032733308133],[2.0],[0.0],[1.0],[600.0],[1045.0039244605452]
189,[23.088625001517375],[2.0],[0.0],[1.0],[600.0],[1044.4878591965619]
190,[23.077226315484396],[2.0],[0.0],[1.0],[600.0],[1043.9722031463875]
191,[23.065836663634197],[2.0],[0.0],[1.0],[600.0],[1043.45695578639]
192,[23.05445603441155],[2.0],[0.0],[1.0],[600.0],[1042.9421165938313]
193,[23.043084416280955],[2.0],[0.0],[1.0],[600.0],[1042.4276850468661]
194,[23.031721797726604],[2.0],[0.0],[1.0],[600.0],[1041.9136606245404]
195,[23.020368167252332],[2.0],[0.0],[1.0],[600.0],[1041.4000428067882]
196,[23.0090235133816],[2.0],[0.0],[1.0],[600.0],[1040.886831074431]
197,[22.997687824657408],[2.0],[0.0],[1.0],[600.0],[1040.3740249091757]
198,[22.986361089642305],[2.0],[0.0],[1.0],[600.0],[1039.861623793612]
199,[22.975043296918304],[2.0],[0.0],[1.0],[600.0],[1039.3496272112106]
200,[22.963734435086867],[2.0],[0.0],[1.0],[600.0],[1038.8380346463225]
201,[22.952434492768862],[2.0],[0.0],[1.0],[600.0],[1038.3268455841758]
202,[22.941143458604497],[2.0],[0.0],[1.0],[600.0],[1037.8160595108748]
203,[22.929861321253327],[2.0],[0.0],[1.0],[600.0],[1037.305675913397]
204,[22.91858806939416],[2.0],[0.0],[1.0],[600.0],[1036.795694279593]
205,[22.907323691725058],[2.0],[0.0],[1.0],[600.0],[1036.2861140981827]
206,[22.89606817696326],[2.0],[0.0],[1.0],[600.0],[1035.776934858755]
207,[22.884821513845186],[2.0],[0.0],[1.0],[600.0],[1035.2681560517653]
208,[22.873583691126345],[2.0],[0.0],[1.0],[600.0],[1034.7597771685334]
209,[22.862354697581345],[2.0],[0.0],[1.0],[600.0],[1034.2517977012426]
210,[22.85113452200381],[2.0],[0.0],[1.0],[600.0],[1033.7442171429366]
211,[22.839923153206374],[2.0],[0.0],[1.0],[600.0],[1033.237034987519]
212,[22.82872058002062],[2.0],[0.0],[1.0],[600.0],[1032.7302507297509]
213,[22.817526791297038],[2.0],[0.0],[1.0],[600.0],[1032.2238638652484]
214,[22.80634177590501],[2.0],[0.0],[1.0],[600.0],[1031.7178738904822]
215,[22.795165522732738],[2.0],[0.0],[1.0],[600.0],[1031.212280302775]
216,[22.78399802068723],[2.0],[0.0],[1.0],[600.0],[1030.7070826002996]
217,[22.772839258694244],[2.0],[0.0],[1.0],[600.0],[1030.2022802820768]
218,[22.76168922569826],[2.0],[0.0],[1.0],[600.0],[1029.6978728479755]
219,[22.750547910662437],[2.0],[0.0],[1.0],[600.0],[1029.1938597987082]
220,[22.73941530256857],[2.0],[0.0],[1.0],[600.0],[1028.6902406358315]
221,[22.728291390417052],[2.0],[0.0],[1.0],[600.0],[1028.187014861743]
222,[22.71717616322684],[2.0],[0.0],[1.0],[600.0],[1027.6841819796798]
223,[22.706069610035417],[2.0],[0.0],[1.0],[600.0],[1027.1817414937175]
224,[22.69497171989873],[2.0],[0.0],[1.0],[600.0],[1026.679692908767]
225,[22.6838824818912],[2.0],[0.0],[1.0],[600.0],[1026.1780357305745]
226,[22.67280188510563],[2.0],[0.0],[1.0],[600.0],[1025.6767694657183]
227,[22.6617299186532],[2.0],[0.0],[1.0],[600.0],[1025.1758936216074]
228,[22.650666571663425],[2.0],[0.0],[1.0],[600.0],[1024.6754077064807]
229,[22.639611833284093],[2.0],[0.0],[1.0],[600.0],[1024.1753112294039]
230,[22.62856569268126],[2.0],[0.0],[1.0],[600.0],[1023.6756037002688]
231,[22.617528139039194],[2.0],[0.0],[1.0],[600.0],[1023.1762846297909]
232,[22.606499161560336],[2.0],[0.0],[1.0],[600.0],[1022.6773535295082]
233,[22.595478749465265],[2.0],[0.0],[1.0],[600.0],[1022.1788099117791]
234,[22.58446689199266],[2.0],[0.0],[1.0],[600.0],[1021.6806532897812]
235,[22.573463578399274],[2.0],[0.0],[1.0],[600.0],[1021.1828831775085]
236,[22.56246879795987],[2.0],[0.0],[1.0],[600.0],[1020.6854990897712]
237,[22.551482539967207],[2.0],[0.0],[1.0],[600.0],[1020.1885005421927]
238,[22.540504793731994],[2.0],[0.0],[1.0],[600.0],[1019.6918870512088]
239,[22.529535548582853],[2.0],[0.0],[1.0],[600.0],[1019.1956581340656]
240,[22.51857479386628],[2.0],[0.0],[1.0],[600.0],[1018.6998133088177]
241,[22.507622518946615],[2.0],[0.0],[1.0],[600.0],[1018.204352094327]
242,[22.49667871320599],[2.0],[0.0],[1.0],[600.0],[1017.7092740102604]
243,[22.485743366044318],[2.0],[0.0],[1.0],[600.0],[1017.2145785770884]
244,[22.47481646687922],[2.0],[0.0],[1.0],[600.0],[1016.7202653160839]
245,[22.46389800514602],[2.0],[0.0],[1.0],[600.0],[1016.2263337493198]
246,[22.4529879702977],[2.0],[0.0],[1.0],[600.0],[1015.7327833996678]
247,[22.442086351804846],[2.0],[0.0],[1.0],[600.0],[1015.2396137907964]
248,[22.43119313915564],[2.0],[0.0],[1.0],[600.0],[1014.7468244471695]
249,[22.420308321855796],[2.0],[0.0],[1.0],[600.0],[1014.2544148940449]
250,[22.409431889428546],[2.0],[0.0],[1.0],[600.0],[1013.7623846574722]
251,[22.39856383141459],[2.0],[0.0],[1.0],[600.0],[1013.2707332642917]
252,[22.387704137372072],[2.0],[0.0],[1.0],[600.0],[1012.7794602421322]
253,[22.376852796876523],[2.0],[0.0],[1.0],[600.0],[1012.2885651194099]
254,[22.366009799520846],[2.0],[0.0],[1.0],[600.0],[1011.7980474253264]
255,[22.355175134915278],[2.0],[0.0],[1.0],[600.0],[1011.3079066898673]
256,[22.344348792687335],[2.0],[0.0],[1.0],[600.0],[1010.8181424438003]
257,[22.333530762481804],[2.0],[0.0],[1.0],[600.0],[1010.3287542186739]
258,[22.32272103396068],[2.0],[0.0],[1.0],[600.0],[1009.8397415468157]
259,[22.311919596803154],[2.0],[0.0],[1.0],[600.0],[1009.3511039613306]
260,[22.30112644070556],[2.0],[0.0],[1.0],[600.0],[1008.8628409960995]
261,[22.290341555381353],[2.0],[0.0],[1.0],[600.0],[1008.3749521857776]
262,[22.279564930561072],[2.0],[0.0],[1.0],[600.0],[1007.8874370657928]
263,[22.26879655599229],[2.0],[0.0],[1.0],[600.0],[1007.4002951723437]
264,[22.25803642143959],[2.0],[0.0],[1.0],[600.0],[1006.9135260423988]
265,[22.247284516684545],[2.0],[0.0],[1.0],[600.0],[1006.4271292136943]
266,[22.236540831525648],[2.0],[0.0],[1.0],[600.0],[1005.9411042247328]
267,[22.225805355778306],[2.0],[0.0],[1.0],[600.0],[1005.4554506147816]
268,[22.2150780792748],[2.0],[0.0],[1.0],[600.0],[1004.9701679238711]
269,[22.204358991864236],[2.0],[0.0],[1.0],[600.0],[1004.4852556927937]
270,[22.193648083412537],[2.0],[0.0],[1.0],[600.0],[1004.0007134631013]
271,[22.18294534380238],[2.0],[0.0],[1.0],[600.0],[1003.5165407771048]
272,[22.172250762933174],[2.0],[0.0],[1.0],[600.0],[1003.0327371778715]
273,[22.16156433072104],[2.0],[0.0],[1.0],[600.0],[1002.5493022092247]
274,[22.150886037098736],[2.0],[0.0],[1.0],[600.0],[1002.0662354157411]
275,[22.140215872015677],[2.0],[0.0],[1.0],[600.0],[1001.5835363427498]
276,[22.129553825437863],[2.0],[0.0],[1.0],[600.0],[1001.1012045363306]
277,[22.118899887347855],[2.0],[0.0],[1.0],[600.0],[1000.6192395433128]
278,[22.10825404774474],[2.0],[0.0],[1.0],[600.0],[1000.1376409112731]
279,[22.097616296644098],[2.0],[0.0],[1.0],[600.0],[999.6564081885344]
280,[22.08698662407798],[2.0],[0.0],[1.0],[600.0],[999.1755409241644]
